LOT_ID,명점,양품,불량률,MC_1BLACK_1PRINT,MC_1BLACK_2RTD,MC_2AG_1PRINT,MC_2AG_2RTD,MC_2AG_3EXPOSURE,MC_3BUS_1DEVELOP,MC_3BUS_2FIRE,MC_4DIELEC_1FIRE,MC_5MGO,MC_6PHOS_1R_1DISPENSER,MC_6PHOS_1R_2DRY,MC_6PHOS_2G_1DISPENSER,MC_6PHOS_2G_2DRY,MC_6PHOS_3B_1DISPENSER,MC_6PHOS_4FIRE,MC_7PASTE,MC_8AGING
LOT-121,2,18,10%,1호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,2호기,1호기,2호기,2호기,2호기,3호기,1호기,2호기
LOT-122,1,19,5%,2호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기
LOT-123,2,18,10%,1호기,1호기,2호기,2호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,3호기,1호기,2호기
LOT-124,0,20,0%,2호기,1호기,2호기,2호기,2호기,2호기,1호기,3호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기
LOT-125,2,18,10%,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,1호기,1호기,1호기,2호기,1호기,2호기,3호기,1호기,1호기
LOT-126,1,19,5%,2호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기,1호기,3호기,1호기,1호기
LOT-127,3,17,15%,2호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,3호기,1호기,1호기
LOT-128,1,19,5%,2호기,1호기,2호기,1호기,2호기,1호기,1호기,3호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,2호기,2호기
LOT-129,0,20,0%,2호기,1호기,1호기,2호기,1호기,2호기,1호기,3호기,1호기,2호기,2호기,1호기,1호기,2호기,1호기,2호기,2호기
LOT-130,3,17,15%,2호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기,2호기
LOT-131,2,18,10%,2호기,2호기,2호기,1호기,1호기,1호기,1호기,3호기,2호기,1호기,2호기,2호기,2호기,2호기,2호기,2호기,1호기
LOT-132,2,18,10%,1호기,2호기,2호기,1호기,1호기,1호기,2호기,3호기,1호기,1호기,1호기,1호기,2호기,1호기,2호기,2호기,1호기
LOT-133,2,18,10%,2호기,1호기,1호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기
LOT-134,2,18,10%,1호기,1호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기
LOT-135,3,17,15%,2호기,1호기,2호기,2호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,2호기,3호기,2호기,2호기
LOT-136,0,20,0%,2호기,2호기,1호기,2호기,2호기,1호기,2호기,3호기,1호기,1호기,2호기,2호기,1호기,1호기,1호기,1호기,1호기
LOT-137,2,18,10%,1호기,2호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,2호기,1호기,2호기
LOT-138,0,20,0%,2호기,2호기,2호기,2호기,1호기,2호기,1호기,1호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,2호기
LOT-139,3,17,15%,2호기,2호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기,2호기
LOT-140,2,18,10%,1호기,1호기,1호기,2호기,2호기,1호기,2호기,3호기,2호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기
LOT-141,1,19,5%,2호기,2호기,1호기,2호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기
LOT-142,1,19,5%,1호기,1호기,2호기,2호기,2호기,2호기,1호기,3호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,2호기
LOT-143,1,19,5%,1호기,1호기,1호기,2호기,1호기,2호기,2호기,3호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기
LOT-144,2,18,10%,2호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기,1호기
LOT-145,1,19,5%,1호기,1호기,2호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기
LOT-146,0,20,0%,2호기,2호기,2호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기,2호기
LOT-147,1,19,5%,1호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기
LOT-148,1,19,5%,1호기,2호기,2호기,1호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기
LOT-149,0,20,0%,1호기,1호기,1호기,1호기,1호기,1호기,2호기,3호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,2호기,1호기
LOT-150,3,17,15%,1호기,1호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기
LOT-151,1,19,5%,1호기,2호기,1호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,2호기,2호기,1호기,1호기,2호기
LOT-152,2,18,10%,1호기,2호기,1호기,2호기,1호기,2호기,1호기,2호기,1호기,2호기,1호기,2호기,2호기,1호기,3호기,1호기,2호기
LOT-153,2,18,10%,1호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,2호기,2호기,1호기,2호기
LOT-154,0,20,0%,1호기,1호기,1호기,2호기,2호기,1호기,2호기,3호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,1호기,1호기
LOT-155,1,19,5%,2호기,1호기,1호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,1호기,1호기,3호기,2호기,1호기
LOT-156,2,18,10%,1호기,2호기,2호기,1호기,2호기,2호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,1호기,1호기
LOT-157,2,18,10%,2호기,1호기,1호기,1호기,2호기,1호기,1호기,3호기,2호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기,2호기
LOT-158,2,18,10%,2호기,1호기,1호기,1호기,2호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,3호기,2호기,2호기
LOT-159,2,18,10%,2호기,2호기,1호기,2호기,1호기,2호기,2호기,3호기,2호기,1호기,1호기,1호기,1호기,2호기,3호기,2호기,2호기
LOT-160,1,19,5%,1호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,2호기,3호기,1호기,1호기
LOT-161,2,18,10%,2호기,1호기,1호기,2호기,2호기,2호기,2호기,1호기,2호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기
LOT-162,3,17,15%,2호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,2호기,2호기,2호기,2호기,1호기
LOT-163,3,17,15%,1호기,2호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,1호기,1호기,1호기,3호기,2호기,1호기
LOT-164,1,19,5%,1호기,1호기,1호기,1호기,2호기,2호기,1호기,3호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기,1호기,1호기
