LOT_ID,명점,양품,불량률,MC_1BLACK_1PRINT,MC_1BLACK_2RTD,MC_2AG_1PRINT,MC_2AG_2RTD,MC_2AG_3EXPOSURE,MC_3BUS_1DEVELOP,MC_3BUS_2FIRE,MC_4DIELEC_1FIRE,MC_5MGO,MC_6PHOS_1R_1DISPENSER,MC_6PHOS_1R_2DRY,MC_6PHOS_2G_1DISPENSER,MC_6PHOS_2G_2DRY,MC_6PHOS_3B_1DISPENSER,MC_6PHOS_4FIRE,MC_7PASTE,MC_8AGING
LOT-201,4,16,20%,1호기,2호기,1호기,2호기,1호기,2호기,1호기,2호기,2호기,1호기,2호기,1호기,1호기,1호기,3호기,1호기,1호기
LOT-202,3,17,15%,2호기,1호기,1호기,2호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기,2호기,1호기,2호기,2호기,1호기,1호기
LOT-203,1,19,5%,1호기,2호기,1호기,1호기,1호기,2호기,1호기,3호기,2호기,2호기,1호기,1호기,1호기,2호기,3호기,1호기,2호기
LOT-204,4,16,20%,1호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기
LOT-205,1,19,5%,2호기,1호기,1호기,1호기,1호기,2호기,1호기,3호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기
LOT-206,2,18,10%,2호기,1호기,2호기,1호기,1호기,1호기,2호기,3호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기
LOT-207,1,19,5%,2호기,2호기,2호기,2호기,1호기,2호기,1호기,3호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기
LOT-208,4,16,20%,2호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,1호기,1호기,2호기,1호기,2호기,1호기,3호기,1호기,2호기
LOT-209,3,17,15%,2호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기
LOT-210,1,19,5%,2호기,1호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,1호기,1호기,3호기,2호기,1호기
LOT-211,3,17,15%,2호기,1호기,2호기,2호기,2호기,2호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기
LOT-212,0,20,0%,2호기,1호기,2호기,2호기,1호기,2호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,2호기,2호기
LOT-213,4,16,20%,2호기,2호기,2호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기,2호기,2호기,2호기,2호기,3호기,1호기,1호기
LOT-214,2,18,10%,2호기,1호기,1호기,1호기,2호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기,3호기,1호기,2호기
LOT-215,2,18,10%,1호기,1호기,2호기,2호기,1호기,1호기,1호기,3호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,1호기,2호기
LOT-216,2,18,10%,2호기,2호기,1호기,2호기,1호기,2호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,2호기,3호기,1호기,1호기
LOT-217,3,17,15%,1호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기,2호기,1호기,1호기,1호기
LOT-218,3,17,15%,2호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기
LOT-219,4,16,20%,2호기,2호기,2호기,2호기,1호기,1호기,1호기,3호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기
LOT-220,3,17,15%,2호기,1호기,2호기,1호기,1호기,2호기,1호기,1호기,2호기,1호기,2호기,2호기,1호기,2호기,3호기,2호기,1호기
LOT-221,3,17,15%,2호기,2호기,2호기,1호기,1호기,2호기,1호기,3호기,1호기,1호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기
LOT-222,2,18,10%,1호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기,3호기,2호기,1호기
LOT-223,2,18,10%,1호기,1호기,1호기,1호기,1호기,1호기,2호기,3호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,2호기
LOT-224,4,16,20%,1호기,1호기,2호기,1호기,2호기,2호기,2호기,1호기,2호기,2호기,1호기,1호기,2호기,1호기,2호기,2호기,1호기
LOT-225,1,19,5%,1호기,1호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,2호기,1호기,3호기,1호기,1호기
LOT-226,5,15,25%,1호기,1호기,2호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,1호기,2호기,2호기,1호기
LOT-227,3,17,15%,1호기,1호기,2호기,2호기,1호기,1호기,2호기,3호기,1호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기
LOT-228,2,18,10%,1호기,2호기,1호기,1호기,2호기,1호기,2호기,3호기,2호기,2호기,2호기,2호기,1호기,2호기,3호기,2호기,1호기
LOT-229,4,16,20%,2호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기
LOT-230,0,20,0%,1호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,2호기,2호기,2호기,1호기
